Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,22,591,613,Minengaw(ST),MMR015012
 Rural,42,3374,3416,Minengaw(ST),MMR015012
 Total,64,3965,4029,Minengaw(ST),MMR015012
