Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,18,20617,20635,Sangyoung,MMR013039
 Total,18,20617,20635,Sangyoung,MMR013039
