Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,56,1724,1780,Singaing,MMR010014
 Rural,700,31099,31799,Singaing,MMR010014
 Total,756,32823,33579,Singaing,MMR010014
