Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,4,6559,6563,Pabedan,MMR013034
 Total,4,6559,6563,Pabedan,MMR013034
