Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,169,8968,9137,Maubin,MMR017019
 Rural,1702,60965,62667,Maubin,MMR017019
 Total,1871,69933,71804,Maubin,MMR017019
