Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,42,2189,2231,Kawhmu,MMR013028
 Rural,847,26714,27561,Kawhmu,MMR013028
 Total,889,28903,29792,Kawhmu,MMR013028
