Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,86,9429,9515,Nyaung U,MMR010022
 Rural,292,34855,35147,Nyaung U,MMR010022
 Total,378,44284,44662,Nyaung U,MMR010022
