Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,32,2620,2652,Tada U,MMR010016
 Rural,560,29415,29975,Tada U,MMR010016
 Total,592,32035,32627,Tada U,MMR010016
