Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,87,6091,6178,Toungup,MMR012016
 Rural,75,18986,19061,Toungup,MMR012016
 Total,162,25077,25239,Toungup,MMR012016
