Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,34,5383,5417,Kyaiklatt,MMR017025
 Rural,591,37740,38331,Kyaiklatt,MMR017025
 Total,625,43123,43748,Kyaiklatt,MMR017025
