Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,59,5883,5942,Hmawby,MMR013003
 Rural,911,49616,50527,Hmawby,MMR013003
 Total,970,55499,56469,Hmawby,MMR013003
