Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,7,1503,1510,Yethedaung,MMR012008
 Rural,77,22754,22831,Yethedaung,MMR012008
 Total,84,24257,24341,Yethedaung,MMR012008
