Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,236,5075,5311,Madaya,MMR010009
 Rural,1900,51434,53334,Madaya,MMR010009
 Total,2136,56509,58645,Madaya,MMR010009
