Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,327,5805,6132,Namkham,MMR015010
 Rural,2008,13277,15285,Namkham,MMR015010
 Total,2335,19082,21417,Namkham,MMR015010
