Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,126,7077,7203,Labutta,MMR017016
 Rural,533,47410,47943,Labutta,MMR017016
 Total,659,54487,55146,Labutta,MMR017016
