Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,175,6581,6756,Thongwa,MMR013025
 Rural,3605,29726,33331,Thongwa,MMR013025
 Total,3780,36307,40087,Thongwa,MMR013025
