Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,24,1451,1475,Kyeintali(ST),MMR012017
 Rural,44,4562,4606,Kyeintali(ST),MMR012017
 Total,68,6013,6081,Kyeintali(ST),MMR012017
