Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,171,23792,23963,Meiktila,MMR010028
 Rural,209,44267,44476,Meiktila,MMR010028
 Total,380,68059,68439,Meiktila,MMR010028
