Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,3,671,674,Homane(ST),MMR014018
 Rural,3,483,486,Homane(ST),MMR014018
 Total,6,1154,1160,Homane(ST),MMR014018
