Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,13,8384,8397,Botahtaung,MMR013017
 Total,13,8384,8397,Botahtaung,MMR013017
