Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,29,1703,1732,Sinku,MMR010010
 Rural,638,32163,32801,Sinku,MMR010010
 Total,667,33866,34533,Sinku,MMR010010
