Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,95,1466,1561,Minesat,MMR016006
 Rural,304,14044,14348,Minesat,MMR016006
 Total,399,15510,15909,Minesat,MMR016006
