Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,178,5499,5677,Yatsauk,MMR014008
 Rural,1159,19121,20280,Yatsauk,MMR014008
 Total,1337,24620,25957,Yatsauk,MMR014008
