Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,246,4437,4683,Kukai,MMR015011
 Rural,773,13575,14348,Kukai,MMR015011
 Total,1019,18012,19031,Kukai,MMR015011
