Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,14,805,819,Shwethaungyan(ST),MMR017001
 Rural,45,9317,9362,Shwethaungyan(ST),MMR017001
 Total,59,10122,10181,Shwethaungyan(ST),MMR017001
