Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,117,16513,16630,Amarapura,MMR010006
 Rural,1394,31602,32996,Amarapura,MMR010006
 Total,1511,48115,49626,Amarapura,MMR010006
