Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,6,6114,6120,Kyauktada,MMR013033
 Total,6,6114,6120,Kyauktada,MMR013033
