Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,117,5140,5257,Zalun,MMR017009
 Rural,1435,35381,36816,Zalun,MMR017009
 Total,1552,40521,42073,Zalun,MMR017009
