Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,389,76595,76984,Dagon Myothit(South),MMR013018
 Total,389,76595,76984,Dagon Myothit(South),MMR013018
