Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,163,589,752,Minenaung(ST),MMR014015
 Rural,704,4355,5059,Minenaung(ST),MMR014015
 Total,867,4944,5811,Minenaung(ST),MMR014015
