Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,68,25263,25331,Dala,MMR013030
 Rural,534,12047,12581,Dala,MMR013030
 Total,602,37310,37912,Dala,MMR013030
