Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,12,17414,17426,Bahan,MMR013044
 Total,12,17414,17426,Bahan,MMR013044
