Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,20,2598,2618,Myebon,MMR012006
 Rural,71,28650,28721,Myebon,MMR012006
 Total,91,31248,31339,Myebon,MMR012006
