Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,875,33224,34099,Lashio,MMR015001
 Rural,2788,28045,30833,Lashio,MMR015001
 Total,3663,61269,64932,Lashio,MMR015001
