Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,16,754,770,Laymyethna,MMR017010
 Rural,713,24761,25474,Laymyethna,MMR017010
 Total,729,25515,26244,Laymyethna,MMR017010
