Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,103,7171,7274,Myauk U,MMR012003
 Rural,235,34016,34251,Myauk U,MMR012003
 Total,338,41187,41525,Myauk U,MMR012003
