Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,23,23039,23062,Kyimyindine,MMR013038
 Total,23,23039,23062,Kyimyindine,MMR013038
