Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,357,37084,37441,Pathein,MMR017001
 Rural,344,28251,28595,Pathein,MMR017001
 Total,701,65335,66036,Pathein,MMR017001
