Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,5,1183,1188,Thabeikkyin,MMR010012
 Rural,381,24180,24561,Thabeikkyin,MMR010012
 Total,386,25363,25749,Thabeikkyin,MMR010012
