Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,74,7509,7583,Mawlamyinegyun,MMR017018
 Rural,687,66616,67303,Mawlamyinegyun,MMR017018
 Total,761,74125,74886,Mawlamyinegyun,MMR017018
