Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,120,4226,4346,Myitthar,MMR010015
 Rural,1096,40575,41671,Myitthar,MMR010015
 Total,1216,44801,46017,Myitthar,MMR010015
