Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,132,1058,1190,Mineyaung,MMR016011
 Rural,1947,3192,5139,Mineyaung,MMR016011
 Total,2079,4250,6329,Mineyaung,MMR016011
