Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,62,38745,38807,Mayangon,MMR013042
 Total,62,38745,38807,Mayangon,MMR013042
