Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,115,5998,6113,Ye,MMR011006
 Rural,425,23453,23878,Ye,MMR011006
 Total,540,29451,29991,Ye,MMR011006
