Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,78,2409,2487,Tamoenye(ST),MMR015011
 Rural,332,10230,10562,Tamoenye(ST),MMR015011
 Total,410,12639,13049,Tamoenye(ST),MMR015011
