Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,254,12259,12513,Myaungmya,MMR017014
 Rural,834,52825,53659,Myaungmya,MMR017014
 Total,1088,65084,66172,Myaungmya,MMR017014
