Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,60,171,231,Mineyu(ST),MMR016011
 Rural,2461,8175,10636,Mineyu(ST),MMR016011
 Total,2521,8346,10867,Mineyu(ST),MMR016011
