Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,18,16281,16299,Kamayut,MMR013041
 Total,18,16281,16299,Kamayut,MMR013041
