Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,2,89,91,Monehta(ST),MMR016008
 Rural,1,837,838,Monehta(ST),MMR016008
 Total,3,926,929,Monehta(ST),MMR016008
