Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,32,2810,2842,Natogyi,MMR010019
 Rural,521,37602,38123,Natogyi,MMR010019
 Total,553,40412,40965,Natogyi,MMR010019
