Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,96,3767,3863,Taungtha,MMR010018
 Rural,473,45516,45989,Taungtha,MMR010018
 Total,569,49283,49852,Taungtha,MMR010018
