Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,2,65,67,Makman,MMR015024
 Rural,2,3249,3251,Makman,MMR015024
 Total,4,3314,3318,Makman,MMR015024
