Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,132,1191,1323,Minephyat,MMR016010
 Rural,316,4526,4842,Minephyat,MMR016010
 Total,448,5717,6165,Minephyat,MMR016010
