Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,124,18782,18906,Sittway,MMR012001
 Rural,57,10073,10130,Sittway,MMR012001
 Total,181,28855,29036,Sittway,MMR012001
