Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,17,2658,2675,Ngwehsaung(ST),MMR017001
 Rural,19,6776,6795,Ngwehsaung(ST),MMR017001
 Total,36,9434,9470,Ngwehsaung(ST),MMR017001
