Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,37,1707,1744,Chaungzon,MMR011003
 Rural,715,25485,26200,Chaungzon,MMR011003
 Total,752,27192,27944,Chaungzon,MMR011003
