Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,448,1655,2103,Mone`,MMR014019
 Rural,631,3490,4121,Mone`,MMR014019
 Total,1079,5145,6224,Mone`,MMR014019
