Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,71,1084,1155,Ywarngan,MMR014007
 Rural,392,16801,17193,Ywarngan,MMR014007
 Total,463,17885,18348,Ywarngan,MMR014007
