Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,82,6792,6874,Pyawbwe,MMR010024
 Rural,290,51699,51989,Pyawbwe,MMR010024
 Total,372,58491,58863,Pyawbwe,MMR010024
