Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,32,10216,10248,Pobbathiri,MMR018005
 Rural,108,17260,17368,Pobbathiri,MMR018005
 Total,140,27476,27616,Pobbathiri,MMR018005
