Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,1231,55417,56648,Taunggyi,MMR014001
 Rural,2203,23753,25956,Taunggyi,MMR014001
 Total,3434,79170,82604,Taunggyi,MMR014001
