Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,138,1630,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,654,2121,2775,Pansai(KyuKute)(ST),MMR015009
 Total,792,3751,4543,Pansai(KyuKute)(ST),MMR015009
