Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,88,3870,3958,Kungyangon,MMR013029
 Rural,899,23495,24394,Kungyangon,MMR013029
 Total,987,27365,28352,Kungyangon,MMR013029
