Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,2,156,158,Taungpyoletwe(ST),MMR012009
 Rural,-,348,348,Taungpyoletwe(ST),MMR012009
 Total,2,504,506,Taungpyoletwe(ST),MMR012009
